1996 World Champion,CC,Il faut beaucoup de sacrifice pour arriver au sommet.,, 
Heartless Hidetsugu,BOK,Hidetsugu contrôlait une dizaine d'oni par pacte de sang. La roche se calcinait à son contact. Les cités brûlaient à son ordre.,,
Heartless Hidetsugu,CNS,Hidetsugu contrôlait une dizaine d'oni par pacte de sang. La roche se calcinait à son contact. Les cités brûlaient à son ordre.,,
Heartless Summoning,ISD,"« Elles n'auront aucune chance dans un concours de beauté, mais elles feront l'affaire. »
—Enslow, meneur de goule de Néphalie",,
Heartstone,H09,"« Les pierrecœurs sont plus rares encore que les cœurs purs. »
—Hanna.",,
Heartstone,SH,"« Les pierrecœurs sont plus rares encore que les cœurs purs. »
—Hanna.",,
Heartstone,SLI,"« Les pierrecœurs sont plus rares encore que les cœurs purs. »
—Hanna.",,
Heartwood Dryad,TE,Pour attraper ce qui voyage entre les mondes il faut avoir la persévérance des arbres.,,
Heartwood Dryad,TPR,Pour attraper ce qui voyage entre les mondes il faut avoir la persévérance des arbres.,,
Heartwood Giant,TE,Le vent dans les arbres est apaisant. On ne peut en dire autant des arbres volant dans le vent.,,
Heartwood Giant,TPR,Le vent dans les arbres est apaisant. On ne peut en dire autant des arbres volant dans le vent.,,
Heartwood Shard,MR,"Comme les autres reliques, elle a été abandonnée par les elfes près du Radix pour être détruite. Elle est toujours là, intacte.",,
Heartwood Storyteller,FUT,"Ses racines, plus nourries par des millénaires d'expérience que par l'humus et la pluie, sont profondément enfouies.",,
Heartwood Treefolk,TE,"Malgré tant d'années passées à Llanowar, je ne comprends toujours pas la place des arbres. Les elfes les révèrent, les chiens leur pissent dessus.
—Mirri, de l'Aquilon.",,
Heat of Battle,SH,"« Takara, c'est moi! cria Starke. Mais c'était inutile, elle obéissait à Wöhlrajh. »",,
Heat Ray,BR,"« J'ai clairement entendu un cri. Mais je ne suis pas sûr d'avoir vu une bouche. »
—Sachir, corps expéditionnaire d'Akoum",,
Heat Ray,BRB,"« J'ai clairement entendu un cri. Mais je ne suis pas sûr d'avoir vu une bouche. »
—Sachir, corps expéditionnaire d'Akoum",,
Heat Ray,M15,"« J'ai clairement entendu un cri. Mais je ne suis pas sûr d'avoir vu une bouche. »
—Sachir, corps expéditionnaire d'Akoum",,
Heat Ray,ROE,"« J'ai clairement entendu un cri. Mais je ne suis pas sûr d'avoir vu une bouche. »
—Sachir, corps expéditionnaire d'Akoum",,
Heat Ray,US,On ne sait si les Thrans construisirent cet engin pour forger leurs merveilles ou pour les protéger.,,
Heat Shimmer,LRW,"« Mieux vaut briller que vaciller. »
—Expression sangpyre",,
Heat Stroke,WL,"« Un coup de chaleur ou un coup d'épée ? Choisi ton destin, traître. »
—Maraxus de Keld, à Starke.",,
Heavy Ballista,6E,"« Les soldats s'épuisent et les ennemis tombent, mais jamais la baliste ne fatigue. »
—Un capitaine de baliste.",,
Heavy Ballista,7E,"« Les soldats s'épuisent et les ennemis tombent, mais jamais la baliste ne fatigue. »
—Un capitaine de baliste.",,
Heavy Ballista,WL,"« Les archers, puis les balistes. Comment seulement s'approcher du rivage de l'île d'Avenant ? »
—Gerrard, de l'Aquilon.",,
Heavy Infantry,ORI,"Portes, murs, crânes...peu importe. Toutes les barrières seront abattues.",,
Heckling Fiends,CNS,"Leur langage se limite peut-être à une cacophonie de piaillements et d'aboiements déments, mais leur message reste on ne peut plus clair.",,
Heckling Fiends,DKA,"Leur langage se limite peut-être à une cacophonie de piaillements et d'aboiements déments, mais leur message reste on ne peut plus clair.",,
Hedge Troll,PLC,"Sa demeure était propre et vide, sans le moindre déchet de nourriture. Je lui demandai ce qu'il mangeait, redoutant déjà sa réponse. Il se contenta de sourire, et me dit que sa foi suffisait à le sustenter.",,
Hedge Troll,REL,"Sa demeure était propre et vide, sans le moindre déchet de nourriture. Je lui demandai ce qu'il mangeait, redoutant déjà sa réponse. Il se contenta de sourire, et me dit que sa foi suffisait à le sustenter.",,
Hedge Troll,RLS,"Sa demeure était propre et vide, sans le moindre déchet de nourriture. Je lui demandai ce qu'il mangeait, redoutant déjà sa réponse. Il se contenta de sourire, et me dit que sa foi suffisait à le sustenter.",,
Hedron Archive,BFZ,"« Tu commences à comprendre le véritable rôle des hèdrons, dit Ugin. Les Eldrazi peuvent être emprisonnés. »« Et comment cela s'est-il fini la dernière fois ? » demanda Jace.",,
Hedron Crab,ZEN,"Les hèdrons laissent tous les esprits perplexes, qu'ils soient petits ou grands.",,
Hedron Crawler,OGW,"« Une petite chose attachante, avec un côté mystique et pointu. »
—Générale Tazri, commandante alliée",,
Hedron Matrix,ROE,"Les hèdrons s'éveillèrent en même temps que les Eldrazi, formant des superstructures irradiant une magie incommensurable.",,
Hedron Rover,WWK,"« Maintenant qu'il s'est éveillé et qu'il est parti, nous devrions aller voir ce qu'il gardait. »
—Gotzen, explorateur de remparts",,
Hedron Scrabbler,ZEN,"« Je me moque de savoir quand les hèdrons se sont éveillés. Pourquoi est la question vraiment importante. »
—Anowon, le sage des ruines",,
Heed the Mists,BOK,"« Autrefois, je cherchais la sagesse dans les brumes. Aujourd'hui, je ne désire que la compréhension. »",,
Heedless One,AEVG,« Laissez passer en moi votre vitalité. »,,
Heedless One,DD3,« Laissez passer en moi votre vitalité. »,,
Heedless One,EVG,« Laissez passer en moi votre vitalité. »,,
Heedless One,ON,« Laissez passer en moi votre vitalité. »,,
"Heidar, Rimewind Master",CS,"« La tache sombre du Dégel sera effacée. Le monde sera à nouveau blanc, tranchant et parfait »",,
Heightened Awareness,PY,"Je suis toujours étonné de voir comme on se sent vivant à l'article de la mort.
—Barrin, maître sorcier.",,
Heir of Falkenrath,SOI,"Les vampires ont longtemps cru que leur appétit avide devait être compensé par la délicatesse de la noblesse.
-----
Les Falkenrath ont abandonné tout faux semblant de noblesse, laissant libre cours à leur soif inextinguible.",,
Heir of the Wilds,GDC,"Dans les hautes cavernes des montagnes de Qal Sisma, les jeunes chasseurs partent en quête des échos de leurs redoutables ancêtres.",,
Heir of the Wilds,KTK,"Dans les hautes cavernes des montagnes de Qal Sisma, les jeunes chasseurs partent en quête des échos de leurs redoutables ancêtres.",,
Heliod's Pilgrim,M15,Les bénédictions d'Héliode sont visibles par tous.,,
Helionaut,AP,"L'espoir maintenait les défenseurs en vol, mais seul le courage les maintenait au combat.",,
Hell Swarm,LG,La lumière du jour se transforma en crépuscule à l'instant où l'essaim plongea sur le champ de bataille.,,
Hell-Bent Raider,TO,Il ne s'arrête que quand sa lance est surchargée de cadavres.,,
Hell's Caretaker,CH,"Vous pouvez partir ici, Chenndra, un autre devrait prendre votre place...",,
Hell's Caretaker,LG,"Vous pouvez partir ici, Chenndra, un autre devrait prendre votre place...",,
Helldozer,HOP,"Parfois, vous allez en enfer et d'autres, c'est l'enfer qui vous trouve.",,
Helldozer,RAV,"Parfois, vous allez en enfer et d'autres, c'est l'enfer qui vous trouve.",,
Hellfire,LG,"« Haut perché sur le trône royal...insatiable dans sa guerre avec le paradis. »
—John Milton, Paradis perdu",,
Hellfire,ME3,"« Haut perché sur le trône royal...insatiable dans sa guerre avec le paradis. »
—John Milton, Paradis perdu",,
Hellfire Mongrel,AVB,"Il n'existe aucune affection entre le limier et son maître, rien qu'une passion commune pour la chasse.",,
Hellfire Mongrel,DDH,"Il n'existe aucune affection entre le limier et son maître, rien qu'une passion commune pour la chasse.",,
Hellfire Mongrel,ZEN,"Il n'existe aucune affection entre le limier et son maître, rien qu'une passion commune pour la chasse.",,
Hellhole Rats,DIS,"« Je devrais suggérer à Momir Vig de créer un chien de garde cracheur d'eau. »
—Mathvan, garde-parchemin de Prahv",,
Hellion Eruption,DDP,"Juste au moment où vous pensiez être en sécurité, au beau milieu d'un champ et sans un Eldrazi à moins d'une lieue.",,
Hellion Eruption,PC2,"Juste au moment où vous pensiez être en sécurité, au beau milieu d'un champ et sans un Eldrazi à moins d'une lieue.",,
Hellion Eruption,ROE,"Juste au moment où vous pensiez être en sécurité, au beau milieu d'un champ et sans un Eldrazi à moins d'une lieue.",,
Hellion Eruption,ZVE,"Juste au moment où vous pensiez être en sécurité, au beau milieu d'un champ et sans un Eldrazi à moins d'une lieue.",,
Hellkite Hatchling,CFX,Une machine à tuer dès sa naissance.,,
Hellkite Hatchling,PC2,Une machine à tuer dès sa naissance.,,
Hellkite Igniter,MBS,Son envol embrase le ciel.,,
Hellkite Overlord,ALA,"« Le dragon a nulle prétention de compassion, nul masque de civilisation — il n'est que faim, chaleur et désir. »
—Sarkhan Vol",,
Hellkite Overlord,DRB,"« Le dragon a nulle prétention de compassion, nul masque de civilisation — il n'est que faim, chaleur et désir. »
—Sarkhan Vol",,
Hellkite Overlord,DRG,"« Le dragon a nulle prétention de compassion, nul masque de civilisation —il n'est que faim, chaleur et désir. »
—Sarkhan Vol",,
Hellraiser Goblin,DDN,"Ne le laissez pas prendre la tête des troupes, mais faites en sorte qu'il passe devant.",,
Hellraiser Goblin,GTC,"Ne le laissez pas prendre la tête des troupes, mais faites en sorte qu'il passe devant.",,
Hellraiser Goblin,SVC,"Ne le laissez pas prendre la tête des troupes, mais faites en sorte qu'il passe devant.",,
Hellrider,DDK,"« Le chaos d'un diable dissimule toujours une machination de démon. »
—Rem Karolus, lame des Inquisiteurs",,
Hellrider,DKA,"« Le chaos d'un diable dissimule toujours une machination de démon. »
—Rem Karolus, lame des Inquisiteurs",,
Hellrider,SVT,"« Le chaos d'un diable dissimule toujours une machination de démon. »
—Rem Karolus, lame des Inquisiteurs",,
Helm of Awakening,VI,"« Pour un faible prix, il va couvrir votre tête, vos sorts, vos paris et vos fesses. »
—Pashad ibn Azim, négociant souk'ata.",,
Helm of Chatzuk,5E,"Par la peur ou par l'honneur, toute loyauté va aux puissants.",,
Helm of the Gods,ORI,Ses bénédictions sont aussi nombreuses que les étoiles de Nyx.,,
Hematite Golem,MR,Les golems patrouillaient la surface lisse de Mirrodin des siècles avant que les premiers pics de la Chaîne d'Oxidda ne bouleversent les lois du magnétisme.,,
Henge Guardian,DDG,"Comme bien des reliques thran, le ver mécanique continua à fonctionner longtemps après la disparition de ses créateurs.",,
Henge Guardian,KVD,"Comme bien des reliques thran, le ver mécanique continua à fonctionner longtemps après la disparition de ses créateurs.",,
Henge Guardian,MM,"Comme bien des reliques Thran, le ver mécanique continua à fonctionner longtemps après la disparition de ses créateurs.",,
Henge of Ramos,MM,"Il est l'axe dont nous sommes la roue.
—Dicton des dryades.",,
Herald of Dromoka,DTK,Les sonneurs de trompe d'Arashin scrutent continuellement le Grand aérain.,,
Herald of Kozilek,BFZ,"« L'objectif de certains Eldrazi est simple : éliminer toute trace de vie, engendrer de nouveaux Eldrazi. Pour d'autres, c'est plus difficile à déterminer, et ce sont eux qui m'inquiètent le plus. »
—Chadir le navigateur",,
Herald of the Pantheon,ORI,Porter l'étendard des dieux n'est rien comparé à la gloire d'être plus proche de Nyx.,,
Herbal Poultice,LRW,"« Appliquez une feuille d'orange sur la blessure à l'aube pour la nettoyer, et faites-le au crépuscule pour éviter la même blessure. »
—Superstition sangamie",,
Herd Gnarr,TSP,"Jadis, un gnarr solitaire était signe de chance. De nos jours, ils sont devenus des chasseurs de meute, signe de danger imminent.",,
Heritage Druid,MOR,"« Étudie les grands esprits de notre âge et ceux du passé. Élague les secrets des nervures de notre lignée. »
—Twila, archidruidesse de Feuilledor",,
Hermetic Study,US,"« Les livres peuvent être remplacés, pas un étudiant doué. Soyez patient. »
—Urza, a Barrin",,
Hermit Druid,JCG,Son maître sylvin terminait souvent ses renseignements par : « Prends en de la graine. »,,
Hermit Druid,JGC,Son maître sylvin terminait souvent ses renseignements par : « Prends en de la graine. »,,
Hermit Druid,SH,Son maître sylvin terminait souvent ses renseignements par : « Prends en de la graine. »,,
Hermit Druid,TPR,Son maître sylvin terminait souvent ses renseignements par : « Prends en de la graine. »,,
Hermit Druid,VMA,Son maître sylvin terminait souvent ses renseignements par : « Prends en de la graine. »,,
Hermit of the Natterknolls,SOI,"Il a horreur des invités...
-----
...sauf à l'heure du dîner.",,
Hero of Goma Fada,BFZ,« Ils cherchent à nous miner. Montrons-leur notre force ! »,,
Hero of Goma Fada,MBP,« Ils cherchent à nous miner. Montrons-leur notre force ! »,,
Hero of Goma Fada,MIN,« Ils cherchent à nous miner. Montrons-leur notre force ! »,,
Hero of Goma Fada,PRE,« Ils cherchent à nous miner. Montrons-leur notre force ! »,,
Hero of Iroas,BNG,« Ma gauche a mis un cyclope à terre. Ma droite a massacré un géant. J'apporte les deux à chaque combat. »,,
Hero of Leina Tower,BNG,« Vous ne pouvez pas parvenir à la grandeur si ses graines n'ont pas été semées dans votre cœur. »,,
Hero's Blade,FRF,Les meilleures épées sont forgées dans le feu des dragons.,,
Hero's Demise,BOK,"« Que lira-t-on sur nos tombes, seigneur Konda ? Que nous avons sauvé notre monde de forces immortelles ou que nous avons été écrasés par notre propre arrogance ? Je m'interroge à chaque nouvelle défaite. »
—Sensei Hisoka, lettre au seigneur Konda",,
Hero's Downfall,CLSP,"Rares sont les élus du destin, mais même les héros peuvent chuter.",,
Hero's Downfall,CP2,"Rares sont les élus du destin, mais même les héros peuvent chuter.",,
Hero's Downfall,THS,"Rares sont les élus du destin, mais même les héros peuvent chuter.",,
Hero's Resolve,6E,"« Destin, hasard, fortune, fatalité : autant de moyens de revendiquer vos succés sans avoir à assumer vos échecs. »
—Gerrard, de l'Aquilon.",,
Hero's Resolve,S2,"« Destin, hasard, fortune, fatalité : autant de moyens de revendiquer vos succés sans avoir à assumer vos échecs. »
—Gerrard, de l'Aquilon.",,
Hero's Resolve,TE,"Destin, hasard, fortune fatalité : autant de moyens à revendiquer vos succès sans avoir à assumer vos échecs.
—Gerrard, de l'Aquilon.",,
Heroes' Bane,JOU,"Selon les contes de voyage, les hydres arrachent leurs propres têtes pour se rendre encore plus dangereuses.",,
Heroes' Bane,PRE,"Selon les contes de voyage, les hydres arrachent leurs propres têtes pour se rendre encore plus dangereuses.",,
Heroes' Reunion,ARC,"« Vous avez sauvé mon peuple des Phyrexians. Je vous revaudrai cela. »
—Éladämri, à Gerrard",,
Heroes' Reunion,DDG,"« Vous avez sauvé mon peuple des Phyrexians. Je vous revaudrai cela. »
—Éladämri, à Gerrard",,
Heroes' Reunion,IN,"« Vous avez aidé mon peuple contre les Phyrexians. Je vous revaudrai cela. »
—Éladämri, à Gerrard.",,
Heroes' Reunion,KVD,"« Vous avez sauvé mon peuple des Phyrexians. Je vous revaudrai cela. »
—Éladämri, à Gerrard",,
Heroes' Reunion,RTR,"Ils n'appartiennent pas à la même lignée, mais sont unis par un lien plus puissant que la famille. Tels sont les dons de l'Âme du monde.",,
Heroic Defiance,PS,"« Portez votre courage en armure et votre honneur comme une arme. »
—Gerrard.",,
Hesitation,SH,"Gerrard hésita, regardant le navire ennemi flottant dans les airs. Le futur hésita avec lui, et en fût changé à jamais.",,
